"","종목코드","종목명","현재가","전일비","등락률","액면가","시가총액","상장주식수","외국인비율","거래량","PER","ROE"
"442","298690","에어부산","3,600","75","+2.13%","1,000","2,955","82,070",0.63,"421,886","-1.41","-56.00"
"443","012610","경인양행","7,150","110","+1.56%","500","2,953","41,306",2.66,"330,198","286.00","6.57"
"444","001390","KG케미칼","22,650","850","+3.90%","5,000","2,947","13,013",3.04,"120,896","28.53","32.69"
"445","005960","동부건설","12,900","400","+3.20%","5,000","2,929","22,702",2.41,"116,202","4.21","15.30"
"446","091810","티웨이항공","2,630","15","+0.57%","500","2,902","110,330",0.23,"700,755","-1.46","-20.85"
"447","272550","삼양패키징","20,400","100","+0.49%","5,000","2,899","14,210",12.6,"16,566","7.16","10.29"
"448","004360","세방","15,000","800","+5.63%","500","2,896","19,309",3.67,"620,985","144.23","0.68"
"449","001520","동양","1,210","10","+0.83%","500","2,888","238,684",8.09,"1,416,195","48.40","-0.05"
"450","28513K","SK케미칼우","197,000","11,500","+6.20%","5,000","2,874","1,459",4.11,"109,145","8.99","N/A"
"451","00279K","아모레G3우(전환)","40,500","800","-1.94%","500","2,872","7,092",7.06,"9,433","143.11","N/A"
"452","011500","한농화성","18,250","300","+1.67%","500","2,854","15,637",10.06,"237,830","23.16","8.58"
"453","017550","수산중공업","5,270","200","+3.94%","500","2,845","53,985",0.95,"11,115,354","5,270.00","0.15"
"454","007690","국도화학","48,850","1,500","+3.17%","5,000","2,838","5,811",28.99,"24,097","8.89","6.89"
"455","013580","계룡건설","31,700","1,000","+3.26%","5,000","2,831","8,931",22.4,"76,437","3.15","16.94"
"456","161000","애경유화","8,780","230","+2.69%","500","2,813","32,040",16.39,"185,214","9.51","8.62"
"457","097955","CJ제일제당 우","211,500","6,500","+3.17%","5,000","2,808","1,327",30.49,"13,842","4.39","N/A"
"458","004560","현대비앤지스틸","18,550","2,950","-13.72%","5,000","2,797","15,079",4.82,"3,050,897","16.13","5.55"
"459","084010","대한제강","11,250","550","+5.14%","1,000","2,773","24,647",10.38,"158,000","3.74","6.73"
"460","015860","일진홀딩스","5,600","100","+1.82%","1,000","2,763","49,347",1.68,"991,259","27.72","4.52"
"461","016450","한세예스24홀딩스","6,900","120","+1.77%","500","2,760","40,000",2.87,"85,092","17.16","7.58"
"462","017940","E1","40,000","900","+2.30%","5,000","2,744","6,860",4.23,"20,265","3.99","-3.63"
"463","002150","도화엔지니어링","8,100","90","+1.12%","500","2,731","33,720",1.6,"53,419","13.39","6.94"
"464","002100","경농","12,550","50","+0.40%","500","2,722","21,692",0.52,"63,732","25.98","2.47"
"465","000430","대원강업","4,360","180","+4.31%","500","2,703","62,000",2.01,"12,407,724","96.89","3.39"
"466","001570","금양","6,120","20","+0.33%","500","2,696","44,048",0.54,"277,940","-15.81","-14.85"
"467","096775","SK이노베이션우","215,500","23,000","+11.95%","5,000","2,690","1,248",9.93,"169,306","-8.20","N/A"
"468","033530","세종공업","9,670","450","+4.88%","500","2,690","27,821",1.35,"426,138","-13.12","1.52"
"469","079980","휴비스","7,790","90","+1.17%","5,000","2,688","34,500",3.75,"149,820","10.08","-0.07"
"470","004380","삼익THK","12,700","0","0.00%","500","2,667","21,000",34.65,"151,816","41.50","1.74"
"471","101060","SBS미디어홀딩스","1,895","15","+0.80%","500","2,651","139,896",1.92,"49,923","-1.78","-16.34"
"472","007340","디티알오토모티브","26,500","450","+1.73%","500","2,648","9,994",6.55,"31,077","5.15","11.50"
"473","001940","KISCO홀딩스","14,300","0","0.00%","1,000","2,642","18,476",8.63,"105,244","5.20","5.58"
"474","306200","세아제강","92,900","1,100","+1.20%","5,000","2,635","2,836",6.32,"17,060","9.49","4.42"
"475","530031","삼성 레버리지 WTI원유 선물 ETN","520","10","+1.96%","0","2,621","504,000",1.24,"4,518,881","N/A","N/A"
"476","33626K","두산퓨얼셀1우","19,600","250","-1.26%","100","2,619","13,364",9.31,"482,550","57.48","N/A"
"477","002020","코오롱","20,700","450","+2.22%","5,000","2,614","12,626",12.33,"41,191","2.82","-2.61"
"478","016590","신대양제지","64,400","1,600","+2.55%","5,000","2,595","4,030",9.38,"21,934","5.42","14.26"
"479","036530","S&T홀딩스","15,900","250","+1.60%","500","2,592","16,304",10.45,"67,709","5.52","8.78"
"480","232080","TIGER 코스닥150","15,075","600","+4.15%","0","2,575","17,080",3.14,"378,547","N/A","N/A"
"481","002630","오리엔트바이오","2,155","105","+5.12%","500","2,555","118,570",0.83,"12,905,655","-17.24","-18.64"
"482","500019","신한 레버리지 WTI원유 선물 ETN(H)","440","5","+1.15%","0","2,552","580,000",0,"2,544,505","N/A","N/A"
"483","025000","KPX케미칼","52,700","700","+1.35%","5,000","2,551","4,840",29.8,"6,186","4.71","9.04"
"484","308170","센트랄모텍","29,200","1,600","+5.80%","500","2,514","8,610",0.59,"229,510","37.34","5.74"
"485","005389","현대차3우B","103,500","3,500","+3.50%","5,000","2,514","2,429",29.63,"37,412","24.73","N/A"
"486","002810","삼영무역","13,600","0","0.00%","500","2,512","18,467",19.37,"32,070","7.78","10.32"
"487","031440","신세계푸드","64,800","100","+0.15%","5,000","2,509","3,872",2.42,"15,400","-35.22","1.38"
"488","132030","KODEX 골드선물(H)","12,755","135","+1.07%","0","2,500","19,600",0.44,"666,208","N/A","N/A"
"489","003545","대신증권우","9,560","50","+0.53%","5,000","2,486","26,000",11.4,"61,578","8.81","N/A"
"490","044450","KSS해운","10,700","50","-0.47%","500","2,481","23,186",8.73,"115,183","8.85","8.79"
"491","092230","KPX홀딩스","58,700","2,500","+4.45%","5,000","2,480","4,225",31.92,"7,824","4.53","5.55"
"492","037710","광주신세계","153,000","1,500","+0.99%","5,000","2,448","1,600",12.02,"1,421","5.77","7.44"
